,--genes,--cells,--strains,--tissue-depth,--output-cell-fraction,--output-cells-random,--input-fraction,--input-signal-depth,--alpha-esm,--esms,--esm-threshold,--delay,--window-size,--function
186,234,1,4,0,1.0,,0.919701,8,0.012464,3,55.568725,0,7,parity
187,183,1,20,0,1.0,,0.358442,6,0.017577,20,29.243665,0,7,parity
188,408,1,7,0,1.0,,0.423195,15,0.012666,17,40.674295,0,7,parity
189,411,1331,16,0,1.0,,0.555927,5,0.010382,14,86.087131,0,7,parity
190,186,3375,2,0,1.0,,0.671157,13,0.005891,15,51.793081,0,7,parity
191,262,1,7,0,1.0,,0.535937,3,0.008024,16,35.587527,0,7,parity
192,70,1,2,0,1.0,,0.332172,1,0.038521,0,54.082206,0,7,parity
193,304,512,12,0,1.0,,0.929707,15,0.012018,1,31.661167,0,7,parity
194,412,2197,16,0,1.0,,0.552531,6,0.01813,17,95.086606,0,7,parity
195,427,1000,17,0,1.0,,0.437247,3,0.012911,20,57.654096,0,7,parity
196,402,8,14,0,1.0,,0.81032,15,0.008869,3,29.418111,0,7,parity
197,218,1000,14,0,1.0,,0.189664,15,0.119001,1,26.226532,0,7,parity
198,452,2197,6,0,1.0,,0.31574,12,0.005658,16,85.562973,0,7,parity
199,86,512,6,0,1.0,,0.602915,12,0.006891,16,33.086492,0,7,parity
200,156,125,15,0,1.0,,0.335846,11,0.578497,10,45.369198,0,7,parity
201,107,2197,6,0,1.0,,0.44848,10,0.035441,10,30.925398,0,7,parity
202,40,2744,20,0,1.0,,0.505165,5,0.115801,8,32.623386,0,7,parity
203,470,343,18,0,1.0,,0.835677,1,0.007517,15,88.687747,0,7,parity
204,280,2744,13,0,1.0,,0.348812,1,0.00841,8,48.159672,0,7,parity
205,347,216,4,0,1.0,,0.789258,11,0.013995,5,58.026914,0,7,parity
206,456,1000,1,0,1.0,,0.654421,8,0.042097,10,76.631131,0,7,parity
207,10,2744,9,0,1.0,,0.572914,7,0.009097,2,47.221522,0,7,parity
208,61,512,13,0,1.0,,0.68228,8,0.009098,11,26.008654,0,7,parity
209,421,729,13,0,1.0,,0.989484,14,0.055472,15,17.309495,0,7,parity
210,116,2197,16,0,1.0,,0.317092,2,0.062873,9,94.666704,0,7,parity
211,229,512,10,0,1.0,,0.609302,5,0.531602,18,83.764496,0,7,parity
212,393,64,17,0,1.0,,0.871023,13,0.011009,7,71.806473,0,7,parity
213,310,1331,12,0,1.0,,0.408506,15,0.010118,12,76.436942,0,7,parity
214,438,1728,14,0,1.0,,0.328304,10,0.006813,16,52.415327,0,7,parity
215,138,729,14,0,1.0,,0.279604,5,0.019973,10,49.027361,0,7,parity
216,429,216,4,0,1.0,,0.161602,13,0.063354,0,44.435581,0,7,parity
217,460,64,6,0,1.0,,0.458609,6,0.025901,18,52.536173,0,7,parity
218,79,1000,9,0,1.0,,0.684773,12,0.022862,5,83.81954,0,7,parity
219,233,343,10,0,1.0,,0.641624,6,0.02352,18,53.889409,0,7,parity
220,428,27,4,0,1.0,,0.527512,4,0.008645,6,35.003628,0,7,parity
221,138,1331,10,0,1.0,,0.135652,11,0.011996,14,20.874717,0,7,parity
222,405,125,8,0,1.0,,0.74501,11,0.216977,2,31.390963,0,7,parity
223,396,125,17,0,1.0,,0.860717,4,0.01213,15,88.062748,0,7,parity
224,472,216,1,0,1.0,,0.464472,13,0.007757,17,81.502865,0,7,parity
225,172,2197,10,0,1.0,,0.82658,1,0.090567,6,72.407151,0,7,parity
226,404,1,20,0,1.0,,0.18715,9,0.06717,10,74.049,0,7,parity
227,199,2197,8,0,1.0,,0.844291,9,0.009811,0,49.364809,0,7,parity
228,102,216,15,0,1.0,,0.156832,11,0.067397,12,73.102884,0,7,parity
229,43,1331,19,0,1.0,,0.514598,5,0.075876,8,13.316764,0,7,parity
230,213,8,1,0,1.0,,0.769206,3,0.238843,3,83.61026,0,7,parity
231,92,3375,2,0,1.0,,0.524566,6,0.019382,5,75.1022,0,7,parity
232,414,64,20,0,1.0,,0.859786,2,0.130601,0,88.863557,0,7,parity
233,17,2197,18,0,1.0,,0.939708,14,0.009314,20,80.771803,0,7,parity
234,484,729,19,0,1.0,,0.264921,14,0.006148,19,23.781647,0,7,parity
235,280,1331,15,0,1.0,,0.699434,3,0.067248,4,32.046203,0,7,parity
236,346,2744,6,0,1.0,,0.414258,12,0.008513,10,74.630654,0,7,parity
237,483,125,6,0,1.0,,0.950707,6,0.015459,0,58.389385,0,7,parity
238,434,8,6,0,1.0,,0.370443,9,0.005637,20,18.005621,0,7,parity
239,142,1728,20,0,1.0,,0.961099,10,0.017777,11,33.1517,0,7,parity
240,289,2197,1,0,1.0,,0.609098,11,0.03757,9,10.726367,0,7,parity
241,215,729,2,0,1.0,,0.458882,13,0.011664,5,15.055557,0,7,parity
242,363,343,5,0,1.0,,0.903271,2,0.006344,3,36.63374,0,7,parity
243,183,1000,19,0,1.0,,0.909637,14,0.113436,0,96.912202,0,7,parity
244,464,1,13,0,1.0,,0.73432,14,0.008217,13,25.465508,0,7,parity
245,455,512,14,0,1.0,,0.304821,4,0.018983,2,97.738927,0,7,parity
246,266,343,16,0,1.0,,0.312105,7,0.007221,20,87.879655,0,7,parity
247,310,216,2,0,1.0,,0.400738,8,0.093578,6,34.517538,0,7,parity
248,441,343,4,0,1.0,,0.754856,13,0.16234,19,20.86984,0,7,parity
249,132,216,4,0,1.0,,0.619639,8,0.034272,6,91.290781,0,7,parity
250,78,1728,18,0,1.0,,0.503858,4,0.009483,18,90.839691,0,7,parity
251,186,729,17,0,1.0,,0.610705,10,0.015616,7,44.361517,0,7,parity
252,447,1331,18,0,1.0,,0.144958,15,0.010599,5,82.723284,0,7,parity
253,471,343,16,0,1.0,,0.230866,1,0.010802,11,11.713221,0,7,parity
254,383,64,20,0,1.0,,0.180837,5,0.015681,14,74.949911,0,7,parity
255,137,64,8,0,1.0,,0.883803,9,0.009459,1,89.6686,0,7,parity
256,136,27,11,0,1.0,,0.43844,8,0.007562,0,58.115762,0,7,parity
257,232,1331,19,0,1.0,,0.411233,10,0.029649,8,37.909451,0,7,parity
258,355,343,9,0,1.0,,0.826546,13,0.018167,14,17.513016,0,7,parity
259,199,512,18,0,1.0,,0.842048,10,0.005678,18,73.0375,0,7,parity
260,463,64,13,0,1.0,,0.792308,13,0.005959,19,23.790172,0,7,parity
261,111,2744,15,0,1.0,,0.763871,1,0.008981,19,30.985653,0,7,parity
262,234,3375,16,0,1.0,,0.700074,3,0.029151,3,97.283631,0,7,parity
263,35,2197,19,0,1.0,,0.44405,9,0.288909,11,19.212627,0,7,parity
264,386,2197,11,0,1.0,,0.841273,6,0.012762,5,33.699475,0,7,parity
265,262,729,18,0,1.0,,0.32326,13,0.007368,10,56.023497,0,7,parity
266,379,3375,17,0,1.0,,0.477779,4,0.011963,7,84.852217,0,7,parity
267,194,125,5,0,1.0,,0.969893,11,0.02754,11,85.154675,0,7,parity
268,220,729,1,0,1.0,,0.998773,3,0.079541,12,67.834823,0,7,parity
269,275,2197,7,0,1.0,,0.783246,7,0.018816,17,63.445775,0,7,parity
270,312,1728,9,0,1.0,,0.250116,6,0.007155,14,93.864243,0,7,parity
271,250,64,1,0,1.0,,0.859902,10,0.044564,19,90.420588,0,7,parity
272,477,1331,12,0,1.0,,0.884704,12,0.013976,5,71.813081,0,7,parity
273,267,1,10,0,1.0,,0.222502,1,0.018857,8,42.65379,0,7,parity
274,239,512,17,0,1.0,,0.978559,3,0.100224,14,22.537707,0,7,parity
275,350,1331,10,0,1.0,,0.476103,8,0.008759,0,38.676562,0,7,parity
276,207,1,18,0,1.0,,0.922555,14,0.078785,20,63.071768,0,7,parity
277,98,2744,6,0,1.0,,0.521065,12,0.015686,19,56.683572,0,7,parity
278,383,1331,17,0,1.0,,0.539816,10,0.013527,7,79.91313,0,7,parity
279,363,1728,1,0,1.0,,0.832512,14,0.009492,4,89.713984,0,7,parity
280,468,27,9,0,1.0,,0.49651,4,0.007614,12,17.33955,0,7,parity
281,486,125,20,0,1.0,,0.70657,6,0.008973,13,67.742306,0,7,parity
282,40,729,11,0,1.0,,0.750727,2,0.012169,14,77.638559,0,7,parity
283,409,216,3,0,1.0,,0.900652,14,0.125482,20,19.043352,0,7,parity
284,436,1,1,0,1.0,,0.17341,5,0.038151,13,39.02956,0,7,parity
285,98,125,9,0,1.0,,0.332793,15,0.033808,3,85.084258,0,7,parity
286,219,3375,10,0,1.0,,0.578763,6,0.090536,20,92.079897,0,7,parity
287,422,8,5,0,1.0,,0.818458,8,0.097889,3,89.985699,0,7,parity
288,293,2197,6,0,1.0,,0.58185,11,0.058743,18,96.943344,0,7,parity
289,179,216,17,0,1.0,,0.777827,8,0.015614,20,82.15692,0,7,parity
290,458,343,6,0,1.0,,0.935033,7,0.044494,15,41.099633,0,7,parity
291,276,729,11,0,1.0,,0.659846,8,0.205847,5,68.959916,0,7,parity
292,265,729,15,0,1.0,,0.745589,3,0.196529,14,31.162247,0,7,parity
293,269,1,13,0,1.0,,0.788357,5,0.006025,8,74.569974,0,7,parity
294,407,512,17,0,1.0,,0.63146,1,0.113265,13,74.04069,0,7,parity
295,459,216,9,0,1.0,,0.321407,15,0.147235,17,13.310862,0,7,parity
296,21,8,6,0,1.0,,0.502681,1,0.070594,8,87.978426,0,7,parity
297,107,8,18,0,1.0,,0.388127,9,0.094321,9,91.227935,0,7,parity
298,61,125,9,0,1.0,,0.959348,13,0.049751,4,54.465672,0,7,parity
299,47,1000,5,0,1.0,,0.240957,6,0.028377,1,29.877496,0,7,parity
300,240,1728,13,0,1.0,,0.252548,1,0.006968,12,72.571733,0,7,parity
301,368,512,3,0,1.0,,0.357669,2,0.012596,1,81.98167,0,7,parity
302,57,2197,4,0,1.0,,0.434685,8,0.007351,1,46.865272,0,7,parity
303,48,2197,1,0,1.0,,0.41148,13,0.060429,16,37.76456,0,7,parity
304,500,1000,1,0,1.0,,0.356912,1,0.020858,20,68.74886,0,7,parity
305,180,1,15,0,1.0,,0.921544,8,0.009165,15,26.380775,0,7,parity
306,163,2744,3,0,1.0,,0.166542,12,0.01072,20,59.830077,0,7,parity
307,329,512,8,0,1.0,,0.956508,2,0.012855,1,43.597964,0,7,parity
308,313,27,16,0,1.0,,0.987927,6,0.04222,18,34.494057,0,7,parity
309,361,125,19,0,1.0,,0.548083,13,0.008111,4,16.459062,0,7,parity
310,407,2744,10,0,1.0,,0.56006,3,0.120671,18,39.721432,0,7,parity
311,404,1331,14,0,1.0,,0.201773,5,0.315381,14,28.829737,0,7,parity
312,394,3375,17,0,1.0,,0.403218,14,0.005753,7,11.985674,0,7,parity
313,287,216,19,0,1.0,,0.662001,15,0.106124,6,21.303259,0,7,parity
314,103,343,11,0,1.0,,0.494101,9,0.012281,9,46.283485,0,7,parity
315,192,1,5,0,1.0,,0.231476,5,0.060897,8,95.682509,0,7,parity
316,31,27,1,0,1.0,,0.57296,6,0.007397,20,43.995203,0,7,parity
317,253,8,19,0,1.0,,0.476467,10,0.114854,17,26.475003,0,7,parity
318,453,125,10,0,1.0,,0.892002,13,0.019816,0,76.130768,0,7,parity
319,144,3375,2,0,1.0,,0.612242,5,0.034429,0,51.979721,0,7,parity
320,221,27,18,0,1.0,,0.419959,15,0.276322,13,27.695646,0,7,parity
321,374,729,15,0,1.0,,0.56866,15,0.082633,20,22.024579,0,7,parity
322,227,8,4,0,1.0,,0.932943,10,0.282834,13,44.67228,0,7,parity
323,121,512,2,0,1.0,,0.268536,3,0.071453,2,32.98533,0,7,parity
324,296,216,10,0,1.0,,0.709547,4,0.03038,19,11.045321,0,7,parity
325,285,1331,7,0,1.0,,0.138395,1,0.660162,7,56.742805,0,7,parity
326,60,27,16,0,1.0,,0.501309,4,0.499001,2,31.861531,0,7,parity
327,374,3375,7,0,1.0,,0.776869,14,0.014663,19,19.768146,0,7,parity
328,388,2197,19,0,1.0,,0.373855,14,0.411503,0,80.22477,0,7,parity
329,365,729,9,0,1.0,,0.985531,6,0.008822,3,90.48363,0,7,parity
330,40,8,15,0,1.0,,0.874188,4,0.124172,19,31.154292,0,7,parity
331,20,343,17,0,1.0,,0.395428,9,0.006097,5,43.423857,0,7,parity
332,262,1331,19,0,1.0,,0.28667,1,0.033244,4,21.619988,0,7,parity
